종목명,종목코드,보유량,투자금
우리금융지주,C316140,7.410901,186384
KT&G,C033780,1.263758,171492
삼성카드,C029780,3.460429,175098
HMM,C011200,7.58791,167313
한샘,C009240,3.856185,172371
세아제강,C306200,1.23735,177683
S-Oil,C010950,2.807898,172124
한일시멘트,C300720,8.884374,173334
SK텔레콤,C017670,3.226202,180829
케이카,C381970,11.842116,178934
